"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;4;6;9;11;11;11;17;17
"2";3;4;6;8;8;8;8;8;8
"3";3;4;6;9;10;12;15;15;19
"4";3;4;6;9;10;12;15;15;19
"5";3;4;6;9;10;12;14;14;14
"6";3;4;6;9;10;12;14;14;14
"7";3;4;6;9;11;11;11;17;17
"8";3;4;6;9;11;11;11;17;17
"9";3;4;6;9;10;12;15;15;19
"10";3;4;6;9;10;12;15;15;18
"11";3;4;6;9;10;12;15;15;19
"12";3;4;6;9;11;11;11;17;17
"13";3;4;6;9;11;11;11;16;16
"14";3;4;6;8;8;8;8;8;8
"15";3;4;6;8;8;8;8;8;8
"16";3;4;6;9;10;12;15;15;19
"17";3;4;6;9;10;12;14;14;14
"18";3;4;6;9;10;12;14;14;14
"19";3;4;6;9;10;12;14;14;14
"20";3;4;6;9;10;12;14;14;14
"21";3;4;6;8;8;8;8;8;8
"22";3;4;6;9;10;12;15;15;19
"23";3;4;6;9;10;12;15;15;19
"24";3;4;6;9;10;12;15;15;19
"25";3;4;7;7;7;7;7;7;7
"26";3;4;7;7;7;7;7;7;7
"27";3;4;7;7;7;7;7;7;7
"28";3;4;6;9;10;12;15;15;19
"29";3;4;7;7;7;7;7;7;7
"30";3;4;6;9;10;12;15;15;19
"31";3;4;6;8;8;8;8;8;8
"32";3;4;6;9;10;12;15;15;19
"33";3;4;6;9;10;12;15;15;18
"34";3;4;6;9;10;12;15;15;18
"35";3;4;6;9;11;11;11;17;17
"36";3;4;6;9;10;12;15;15;19
"37";3;4;6;9;10;12;14;14;14
"38";3;4;6;9;10;12;15;15;18
"39";3;4;6;9;11;11;11;16;16
"40";3;4;6;9;10;12;15;15;19
"41";3;4;6;9;11;11;11;17;17
"42";3;4;7;7;7;7;7;7;7
"43";3;4;6;9;10;12;15;15;19
"44";3;4;7;7;7;7;7;7;7
"45";3;4;6;9;10;12;15;15;19
"46";3;4;6;9;10;13;13;13;13
"47";3;4;6;9;10;12;14;14;14
"48";3;4;6;9;10;12;14;14;14
"49";3;4;6;9;10;12;15;15;18
"50";3;4;6;9;10;12;14;14;14
"51";3;4;6;9;10;12;14;14;14
"52";3;4;6;9;10;12;14;14;14
"53";3;4;6;9;10;12;14;14;14
"54";3;4;6;9;10;12;14;14;14
"55";3;4;6;9;11;11;11;16;16
"56";3;4;6;9;10;12;14;14;14
"57";3;4;6;9;10;12;15;15;18
"58";3;4;6;9;10;12;14;14;14
"59";3;4;6;9;10;12;14;14;14
"60";3;4;6;9;11;11;11;17;17
"61";3;4;6;9;11;11;11;17;17
"62";3;4;6;9;10;12;14;14;14
"63";3;4;6;9;10;12;14;14;14
"64";3;4;6;9;10;12;14;14;14
"65";3;4;7;7;7;7;7;7;7
"66";3;4;6;9;11;11;11;17;17
"67";3;4;7;7;7;7;7;7;7
"68";3;4;6;9;10;12;15;15;19
"69";3;4;6;9;10;12;15;15;19
"70";3;4;6;9;11;11;11;16;16
"71";3;4;7;7;7;7;7;7;7
"72";3;4;6;9;10;12;15;15;19
"73";3;4;6;9;11;11;11;17;17
"74";3;4;7;7;7;7;7;7;7
"75";3;4;7;7;7;7;7;7;7
"76";3;4;7;7;7;7;7;7;7
"77";3;4;6;9;11;11;11;17;17
"78";3;4;7;7;7;7;7;7;7
"79";3;4;6;9;11;11;11;16;16
"80";3;4;6;9;10;12;15;15;19
"81";2;2;2;2;2;2;2;2;2
"82";2;2;2;2;2;2;2;2;2
"83";3;4;6;9;11;11;11;17;17
"84";3;4;6;8;8;8;8;8;8
"85";3;4;6;9;10;12;15;15;19
"86";3;4;6;8;8;8;8;8;8
"87";2;2;2;2;2;2;2;2;2
"88";3;4;6;9;10;12;15;15;19
"89";3;4;6;8;8;8;8;8;8
"90";2;2;2;2;2;2;2;2;2
"91";3;4;6;8;8;8;8;8;8
"92";3;4;6;9;10;12;15;15;18
"93";3;4;6;9;10;12;15;15;19
"94";3;4;6;9;10;12;14;14;14
"95";3;4;6;9;10;12;15;15;19
"96";3;4;6;9;10;12;15;15;19
"97";2;2;2;2;2;2;2;2;2
"98";2;2;2;2;2;2;2;2;2
"99";3;4;6;9;10;12;15;15;19
"100";3;4;6;8;8;8;8;8;8
"101";2;2;2;2;2;2;2;2;2
"102";3;4;6;9;10;12;14;14;14
"103";3;4;6;9;10;12;15;15;18
"104";3;4;6;9;10;12;15;15;19
"105";3;4;6;9;10;12;15;15;19
"106";3;4;6;8;8;8;8;8;8
"107";3;4;6;9;11;11;11;17;17
"108";3;4;6;8;8;8;8;8;8
"109";2;2;2;2;2;2;2;2;2
"110";3;4;6;9;10;12;14;14;14
"111";3;4;6;9;11;11;11;16;16
"112";3;4;6;9;10;12;15;15;19
"113";3;4;6;9;10;12;14;14;14
"114";3;4;6;8;8;8;8;8;8
"115";2;2;2;2;2;2;2;2;2
"116";3;4;6;8;8;8;8;8;8
"117";3;4;6;9;10;12;14;14;14
"118";3;4;6;9;11;11;11;16;16
"119";3;4;6;9;11;11;11;16;16
"120";3;4;6;9;10;12;15;15;19
"121";3;4;6;9;10;12;15;15;19
"122";3;4;6;8;8;8;8;8;8
"123";3;4;6;8;8;8;8;8;8
"124";2;2;2;2;2;2;2;2;2
"125";3;4;6;9;10;12;14;14;14
"126";3;4;6;9;10;12;14;14;14
"127";3;4;6;9;11;11;11;16;16
"128";3;4;6;8;8;8;8;8;8
"129";2;2;2;2;2;2;2;2;2
"130";3;4;6;9;10;12;14;14;14
"131";3;4;6;9;10;12;15;15;18
"132";3;4;6;9;11;11;11;17;17
"133";3;4;6;9;10;12;14;14;14
"134";3;4;6;9;11;11;11;17;17
"135";3;4;6;8;8;8;8;8;8
"136";3;4;7;7;7;7;7;7;7
"137";3;4;6;9;11;11;11;17;17
"138";3;4;6;8;8;8;8;8;8
"139";2;2;2;2;2;2;2;2;2
"140";3;4;6;9;10;12;14;14;14
"141";3;4;6;9;10;13;13;13;13
"142";3;4;6;9;10;12;15;15;18
"143";3;4;6;9;11;11;11;17;17
"144";3;4;6;9;11;11;11;17;17
"145";3;4;6;9;11;11;11;17;17
"146";3;4;6;9;10;12;15;15;18
"147";3;4;6;9;10;12;14;14;14
"148";3;4;6;9;10;12;15;15;19
"149";3;4;6;9;10;12;14;14;14
"150";3;4;6;9;10;12;14;14;14
"151";3;4;7;7;7;7;7;7;7
"152";3;4;6;9;10;12;15;15;19
"153";3;4;6;8;8;8;8;8;8
"154";3;4;7;7;7;7;7;7;7
"155";3;4;7;7;7;7;7;7;7
"156";3;4;6;8;8;8;8;8;8
"157";3;4;6;9;10;12;14;14;14
"158";3;4;6;9;10;12;15;15;18
"159";3;4;7;7;7;7;7;7;7
"160";3;4;6;9;10;12;15;15;19
"161";3;4;6;9;11;11;11;17;17
"162";3;4;6;8;8;8;8;8;8
"163";3;4;6;8;8;8;8;8;8
"164";3;4;6;9;11;11;11;17;17
"165";3;4;6;8;8;8;8;8;8
"166";3;4;6;9;10;12;15;15;18
"167";3;4;6;9;10;12;14;14;14
"168";3;4;6;9;10;12;15;15;19
"169";3;4;6;9;10;12;15;15;19
"170";3;4;6;9;10;12;14;14;14
"171";3;4;6;9;10;12;15;15;19
"172";3;4;6;9;10;12;15;15;19
"173";3;4;6;9;11;11;11;17;17
"174";3;4;6;9;11;11;11;17;17
"175";3;5;5;5;5;5;5;5;5
"176";3;4;6;9;11;11;11;17;17
"177";3;4;6;9;10;13;13;13;13
"178";3;4;6;9;11;11;11;16;16
"179";3;4;6;9;11;11;11;17;17
"180";3;4;6;9;11;11;11;17;17
"181";3;5;5;5;5;5;5;5;5
"182";3;4;6;9;11;11;11;17;17
"183";3;4;6;9;10;13;13;13;13
"184";3;4;6;9;11;11;11;16;16
"185";3;4;6;9;10;12;14;14;14
"186";3;4;6;9;10;12;14;14;14
"187";3;4;6;9;11;11;11;17;17
"188";3;4;6;8;8;8;8;8;8
"189";3;4;6;8;8;8;8;8;8
"190";3;4;6;9;10;12;15;15;19
"191";3;4;6;9;10;12;15;15;19
"192";3;4;6;9;10;12;15;15;19
"193";3;4;6;8;8;8;8;8;8
"194";3;4;6;9;10;12;15;15;19
"195";3;4;6;9;10;12;14;14;14
"196";3;4;6;8;8;8;8;8;8
"197";3;4;6;9;10;12;14;14;14
"198";3;4;6;9;11;11;11;16;16
"199";3;4;6;9;11;11;11;16;16
"200";3;4;6;9;11;11;11;16;16
"201";3;4;6;9;11;11;11;17;17
"202";3;4;6;8;8;8;8;8;8
"203";3;4;6;9;10;12;14;14;14
"204";3;4;6;9;11;11;11;17;17
"205";3;4;6;9;11;11;11;17;17
"206";3;4;6;8;8;8;8;8;8
"207";3;4;6;9;11;11;11;17;17
"208";3;4;6;9;11;11;11;16;16
"209";3;4;6;9;11;11;11;16;16
"210";3;4;6;9;11;11;11;16;16
"211";3;4;6;9;10;12;15;15;18
"212";2;2;2;2;2;2;2;2;2
"213";2;2;2;2;2;2;2;2;2
"214";3;5;5;5;5;5;5;5;5
"215";3;4;6;9;11;11;11;16;16
"216";3;4;6;9;11;11;11;16;16
"217";3;4;6;9;11;11;11;16;16
"218";3;4;6;9;10;12;15;15;19
"219";3;4;6;8;8;8;8;8;8
"220";3;4;6;8;8;8;8;8;8
"221";3;4;6;9;10;12;14;14;14
"222";3;4;6;9;11;11;11;16;16
"223";3;4;6;9;11;11;11;16;16
"224";3;4;6;9;11;11;11;16;16
"225";3;4;6;9;11;11;11;16;16
"226";3;4;6;9;11;11;11;17;17
"227";3;4;6;9;11;11;11;17;17
"228";3;4;6;9;10;12;15;15;19
"229";3;4;6;8;8;8;8;8;8
"230";3;5;5;5;5;5;5;5;5
"231";3;4;6;9;11;11;11;17;17
"232";3;4;6;9;11;11;11;16;16
"233";3;4;6;9;11;11;11;16;16
"234";3;4;6;9;11;11;11;16;16
"235";3;4;6;9;11;11;11;17;17
"236";3;4;6;9;10;12;14;14;14
"237";3;4;6;8;8;8;8;8;8
"238";3;4;6;9;10;12;14;14;14
"239";3;4;6;9;10;12;14;14;14
"240";3;4;6;9;10;12;14;14;14
"241";3;4;6;9;10;13;13;13;13
"242";3;4;6;9;11;11;11;17;17
"243";3;4;6;9;10;12;14;14;14
"244";3;5;5;5;5;5;5;5;5
"245";3;4;6;9;11;11;11;16;16
"246";3;4;6;9;11;11;11;16;16
"247";3;4;6;9;11;11;11;16;16
"248";3;4;6;9;11;11;11;16;16
"249";3;4;6;8;8;8;8;8;8
"250";3;4;6;8;8;8;8;8;8
"251";3;4;6;8;8;8;8;8;8
"252";2;2;2;2;2;2;2;2;2
"253";3;4;6;8;8;8;8;8;8
"254";3;4;6;9;11;11;11;16;16
"255";3;4;6;9;11;11;11;16;16
"256";3;4;6;9;11;11;11;16;16
"257";3;4;6;9;11;11;11;16;16
"258";3;4;6;8;8;8;8;8;8
"259";3;4;6;9;10;12;14;14;14
"260";3;4;6;9;10;12;14;14;14
"261";3;4;6;8;8;8;8;8;8
"262";3;4;6;9;10;12;15;15;19
"263";3;4;6;9;10;12;15;15;19
"264";3;4;6;9;10;12;15;15;19
"265";3;4;6;9;10;12;15;15;19
"266";3;4;6;9;11;11;11;16;16
"267";3;4;6;9;11;11;11;16;16
"268";3;4;6;9;11;11;11;16;16
