"";"";"";"";"*rel_luiz_augusto_guimaraes_de_souza";""
"1";"*rel_luiz_augusto_guimaraes_de_souza";"-0.326572228894733";"0.446419720071905";"0.965001995670001";"48"
"2";"*cod_10611160";"-0.326572228894733";"0.446419720071905";"0.965001995670001";"49"
"3";"*rel_leandro_figueira_martins";"0.278492439765557";"1.05864760533484";"0.926791567387124";"58"
"4";"*ori_santa_rosa";"-0.580428579718808";"0.934698676155176";"0.925195031386446";"68"
"5";"*ano_2024";"-0.248785216279028";"0.896155290960975";"0.921868914718369";"73"
"6";"*rel_glaucia_dipp_dreher";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"78"
"7";"*ori_santa_maria";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"80"
"8";"*cod_10306088";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"81"
"9";"*cod_10141060";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"82"
"10";"*cod_9983435";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"84"
"11";"*cod_8912163";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"85"
"12";"*ori_júlio_de_castilhos";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"86"
"13";"*cod_8738328";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"87"
"14";"*ori_santa_bárbara_do_sul";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"88"
"15";"*rel_rosana_broglio_garbin";"-0.326572228894733";"0.446419720071905";"0.882141777234848";"89"
"16";"*cod_10408854";"-0.261677811040187";"1.16491721113116";"0.877458604966195";"94"
"17";"*cod_9148912";"-0.12488400600797";"0.650495681826216";"0.877458604966195";"95"
"18";"*ori_erechim";"-0.12488400600797";"0.650495681826216";"0.877458604966195";"96"
"19";"*tipo_proc_conflito_de_competência";"-0.12488400600797";"0.650495681826216";"0.877458604966195";"97"
"20";"*rel_joão_ricardo_dos_santos_costa";"-0.39278036198028";"0.398983677225572";"0.848880610554071";"109"
"21";"*cod_10442229";"-0.486517677247389";"0.0972914727200013";"0.848295214020489";"110"
"22";"*rel_jane_maria_köhler_vidal";"-0.486517677247389";"0.0972914727200013";"0.848295214020489";"111"
"23";"*cod_10063251";"-0.0240398945645881";"0.752533662703372";"0.839673919616831";"114"
"24";"*cod_9373502";"-0.0240398945645881";"0.752533662703372";"0.839673919616831";"115"
"25";"*cod_9994594";"-0.748282917022535";"0.00630665899388477";"0.837891121082742";"116"
"26";"*cod_8019192";"-0.677770206500626";"-0.143047560433708";"0.837891121082742";"118"
"27";"*cod_7758537";"-0.748282917022535";"0.00630665899388477";"0.837891121082742";"119"
"28";"*cod_6955172";"-0.677770206500626";"-0.143047560433708";"0.837891121082742";"120"
"29";"*ori_frederico_westphalen";"-0.677770206500626";"-0.143047560433708";"0.837891121082742";"121"
"30";"*cod_10782026";"-0.197147958860661";"1.28770402910967";"0.837891121082742";"122"
"31";"*ori_novo_hamburgo";"-0.931630004068141";"0.174884875369366";"0.827726508545096";"131"
"32";"*cod_8694939";"-0.888853146398469";"-0.140397694698789";"0.827726508545096";"132"
"33";"*ori_outra";"-0.260444172878792";"0.735843763030963";"0.823336034543234";"134"
"34";"*rel_eduardo_augusto_dias_bainy";"-0.102019879135417";"1.24189274435471";"0.817535287074106";"135"
"35";"*cod_9450979";"-0.794836199035924";"-0.339536653935579";"0.814262388272717";"136"
"36";"*ori_sapiranga";"-0.794836199035924";"-0.339536653935579";"0.814262388272717";"137"
"37";"*cod_6828774";"-0.597016749857463";"0.159363630309618";"0.812586025472006";"138"
"38";"*ori_santana_do_livramento";"-0.597016749857463";"0.159363630309618";"0.812586025472006";"139"
"39";"*ori_sapucaia_do_sul";"-0.474421367275947";"0.614297739093342";"0.806838495869568";"140"
