"";"";"";"";"*cod_8239373";""
"1";"*cod_8239373";"0.0184091611799165";"-0.935186593787872";"1.28408595687129";"22"
"2";"*cod_5404834";"-0.284507417383935";"-0.935229563269679";"1.10837027575325";"38"
"3";"*cod_7410007";"0.0923012860549604";"-0.108051585560154";"0.946374633706514";"74"
"4";"*rel_LISELENA_SCHIFINO_ROBLES_RIBEIRO";"0.0923012860549604";"-0.108051585560154";"0.946374633706514";"75"
"5";"*ori_OSÓRIO";"-0.049146272596379";"-0.875139735157415";"0.94513487113983";"77"
"6";"*cod_9976720";"0.0574784720851275";"-0.398057820989911";"0.903726801412578";"84"
"7";"*cod_9967228";"0.0574784720851275";"-0.398057820989911";"0.903726801412578";"85"
"8";"*ano_2020";"0.128682374135169";"-0.219845749562073";"0.898685100308062";"86"
"9";"*cod_10408854";"-0.0788997336872132";"-0.455400477100632";"0.874220452325494";"92"
"10";"*cod_7106842";"0.153028500880466";"0.821202842320888";"0.869922608760989";"103"
"11";"*tipo_proc_reexame_necessário";"0.878660756826162";"1.04868040128272";"0.866203321060936";"114"
"12";"*cod_8019192";"0.550187842929749";"0.469985112373667";"0.865790066872042";"116"
"13";"*rel_JOSÉ_ANTÔNIO_DALTOE_CEZAR";"0.170614911093404";"0.00776790984859347";"0.862401382523105";"117"
"14";"*ori_CANOAS";"0.0792427308162731";"-0.216803923846313";"0.862318731685326";"118"
"15";"*ori_VIAMÃO";"0.310963495390304";"-0.225563222859382";"0.858764745660831";"119"
"16";"*ori_FREDERICO";"0.229390243502612";"0.505339446940921";"0.853309790367421";"121"
"17";"WESTPHALEN";"0.229390243502612";"0.505339446940921";"0.853309790367421";"122"
"18";"*ori_PORTO";"0.0593859275863743";"-0.03096318936979";"0.848598692614021";"123"
"19";"ALEGRE";"0.0593859275863743";"-0.03096318936979";"0.848598692614021";"124"
"20";"*cod_10782026";"-0.0928288592751463";"-0.571402971272535";"0.844631452400631";"125"
"21";"*cod_9423804";"-0.0928288592751463";"-0.571402971272535";"0.844631452400631";"126"
"22";"*cod_9255266";"-0.0928288592751463";"-0.571402971272535";"0.844631452400631";"127"
"23";"*ori_SANTANA";"-0.0928288592751463";"-0.571402971272535";"0.844631452400631";"130"
"24";"LIVRAMENTO";"-0.0928288592751463";"-0.571402971272535";"0.844631452400631";"131"
"25";"*ori_FARROUPILHA";"0.0296576400237919";"-0.312568166164915";"0.841408069727252";"132"
"26";"*ano_2018";"0.0441319565185925";"-0.293523858040153";"0.839920354647231";"133"
"27";"*cod_9994594";"-0.0303179618268088";"0.288003065204202";"0.823059583740326";"135"
"28";"*cod_8738328";"-0.0303179618268088";"0.288003065204202";"0.823059583740326";"137"
"29";"*rel_ROSANA_BROGLIO_GARBIN";"-0.0303179618268088";"0.288003065204202";"0.823059583740326";"139"
"30";"*ori_CAXIAS";"0.00870267546738509";"-0.016912884215404";"0.822976932902547";"141"
"31";"*rel_MAURO_CAUM_GONÇALVES";"0.104392626637888";"-0.16408120363847";"0.822646329551431";"142"
"32";"*cod_9460452";"0.354421109645361";"0.27752574338747";"0.816116913366895";"143"
"33";"*ori_TAPES";"0.354421109645361";"0.27752574338747";"0.816116913366895";"144"
"34";"*cod_9373502";"0.354421109645361";"0.27752574338747";"0.816116913366895";"145"
"35";"*cod_8996420";"0.354421109645361";"0.27752574338747";"0.816116913366895";"146"
"36";"*cod_8054835";"0.354421109645361";"0.27752574338747";"0.816116913366895";"147"
"37";"*cod_10328738";"0.331205900332139";"0.0841882531009652";"0.81330678488241";"148"
"38";"*cod_9969333";"0.331205900332139";"0.0841882531009652";"0.81330678488241";"150"
"39";"*cod_8694393";"0.331205900332139";"0.0841882531009652";"0.81330678488241";"151"
"40";"*cod_7252894";"0.331205900332139";"0.0841882531009652";"0.81330678488241";"152"
"41";"*cod_6557060";"-0.229907400929456";"-0.238509184234937";"0.811901720640168";"153"
"42";"*ori_CANGUÇU";"0.184739602468085";"-0.108522007685319";"0.808430385453453";"155"
"43";"*ori_SAPUCAIA";"-0.0615734105509775";"-0.141699953034166";"0.807521226237884";"156"
"44";"*cod_9255526";"0.0748898790700439";"-0.253054703275033";"0.8";"158"
"45";"*ori_SÃO";"0.0748898790700439";"-0.253054703275033";"0.8";"159"
"46";"LEOPOLDO";"0.0748898790700439";"-0.253054703275033";"0.8";"160"
"47";"*cod_9072001";"0.0748898790700439";"-0.253054703275033";"0.8";"161"
"48";"*cod_8597353";"0.0748898790700439";"-0.253054703275033";"0.8";"162"
"49";"*cod_8598548";"0.0748898790700439";"-0.253054703275033";"0.8";"163"
