"";"";"";"";"destituir";""
"1";"destituir";"-0.707987310304174";"-1.38078606657493";"0.867336186196596";"176"
"2";"institucionalmente";"-0.717929101563327";"-1.37442078277518";"0.853464086064876";"204"
"3";"mesmo";"-0.717273394029463";"-1.45812106268953";"0.847869490959281";"220"
"4";"vínculo";"-0.702834791415933";"-1.19670395930081";"0.837900435492308";"245"
"5";"grave";"-0.700003793459014";"-1.03195560105534";"0.837491413049644";"247"
"6";"episódio";"-0.740488603342685";"-1.65145855297604";"0.837491413049644";"248"
"7";"contar";"-0.700003793459014";"-1.03195560105534";"0.837491413049644";"249"
"8";"exploração";"-0.74629240567099";"-1.69979292554767";"0.835945446868048";"253"
"9";"narrar";"-0.685565190845484";"-0.770538497666624";"0.835945446868048";"258"
"10";"aproximação";"-0.65940553844377";"-0.637382524270094";"0.828673166489151";"273"
"11";"procedimento";"-0.529287947224641";"1.37797659352522";"0.828631570986507";"278"
