"";"*ano_2013";"*ano_2014";"*ano_2015";"*ano_2016";"*ano_2017";"*ano_2018";"*ano_2019";"*ano_2020";"*ano_2021";"*ano_2022";"*ano_2023";"*ano_2024"
"nom";214;96;144;323;164;329;70;377;179;712;1073;1206
"pre";135;64;88;199;98;200;42;234;114;420;620;781
"ver_sup";27;8;23;34;14;36;9;47;15;61;84;119
"adj";91;28;56;127;58;112;21;123;60;232;374;480
"nr";23;13;16;20;14;21;6;34;17;64;98;99
"ver";58;15;41;80;42;80;18;95;35;161;226;322
"art_def";47;30;34;77;41;63;18;76;38;193;269;307
"pro_rel";16;6;11;22;8;21;3;32;10;60;61;79
"adv_sup";10;4;8;20;12;13;9;24;6;44;81;66
"adv";22;6;9;24;9;18;6;29;12;46;58;94
"nom_sup";6;2;4;13;6;5;4;7;4;27;46;34
"conj";22;13;13;23;13;22;6;25;11;83;102;142
"num";33;12;25;27;15;34;4;34;21;77;133;127
"adj_num";4;3;2;9;6;10;2;7;6;16;32;28
"sw";0;1;1;0;0;0;0;2;0;2;1;4
"pro_pos";2;0;3;12;3;4;4;12;4;12;15;19
"pro_per";3;3;10;10;4;7;5;10;4;16;29;26
"pro_ind";7;3;3;15;4;8;2;8;5;16;21;26
"pro_dem";1;0;0;3;0;1;0;3;0;3;1;4
"ono";0;0;0;0;0;1;0;0;1;0;0;1
"pro_int";0;0;0;1;0;0;0;0;0;1;0;0
"adj_sup";0;0;0;0;0;0;1;0;0;0;0;0
